session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Language related disorders,Nationality,Sex,Student Status,Weekly device usage
5ddbdf53961cb3b26a844299,5c1c4e9a4bbe4f00012cd09b,TIMED-OUT,2019-11-25 14:04:03.556000,,30501531.158295,36,283,2,100,,,Germany,Germany,Part-Time,German,"English, Farsi, German",none,Germany,Male,No,Every day
5ddbdf59ade462b1cfdf3eff,5d9392e103f78f001bae5fd0,APPROVED,2019-11-25 14:04:15.089000,2019-11-25 14:28:59.894000,1484.805,41,29,1,99,2019-12-08 10:56:31.828000,HRWSB3Q2,Germany,Italy,Part-Time,German,"German, Italian, English",none,Italy,Female,Yes,Every day
5ddbdf95b48da3b211ab9247,5be95af71ca46b0001862746,APPROVED,2019-11-25 14:05:12.035000,2019-11-25 14:23:06.781000,1074.746,42,363,0,100,2019-12-08 10:56:33.273000,HRWSB3Q2,Germany,Germany,Full-Time,German,"German, English",none,Germany,Male,No,2-6 times a week
5ddbdfacc5faa2b30951252f,5c331d41fe0dca000110c862,APPROVED,2019-11-25 14:05:40.232000,2019-11-25 14:24:47.530000,1147.298,26,261,0,100,2019-12-08 10:56:34.244000,HRWSB3Q2,Germany,Germany,Full-Time,German,"German, English",none,Germany,Female,Yes,Every day
5ddbdfbfce1ce6b36e77f3bc,5dcaa05d84b4cf7812b15170,APPROVED,2019-11-25 14:05:51.648000,2019-11-25 14:27:14.629000,1282.981,27,70,1,100,2019-12-08 10:56:35.169000,HRWSB3Q2,Indonesia,Germany,Other,Indonesian,"English, Indonesian, German",none,Indonesia,Male,Yes,Multiple times every day
5ddbdfc7af16d3b2b6206bb1,5cfade7c2e8dc70016e2bac8,APPROVED,2019-11-25 14:05:59.626000,2019-11-25 14:25:27.125000,1167.499,23,152,3,98,2019-12-08 10:56:36.207000,HRWSB3Q2,Vietnam,Germany,Full-Time,Vietnamese,"English, German",none,Vietnam,Male,Yes,Multiple times every day
5ddbdfcdfef7c2b2d6185268,5d95d60847e8d80017c5e228,APPROVED,2019-11-25 14:06:05.708000,2019-11-25 14:23:05.188000,1019.48,38,75,2,99,2019-12-08 10:56:37.141000,HRWSB3Q2,Austria,Austria,Full-Time,German,German,none,Austria,Male,No,Multiple times every day
5ddbf06c568ca5b36a7ea22a,5da1983e424f6a0015466e6c,APPROVED,2019-11-25 15:17:00.755000,2019-11-25 15:40:38.667000,1417.912,27,125,1,100,2019-12-08 10:56:38.056000,HRWSB3Q2,Switzerland,Germany,Part-Time,Spanish,"Spanish, English, German, Italian",none,Italy,Male,No,Multiple times every day
5ddc24be2a30acb747d184eb,5d91fc3c0c32c9001972493c,APPROVED,2019-11-25 19:00:14.813000,2019-11-25 19:22:08.841000,1314.028,20,98,2,99,2019-12-08 10:56:39.195000,HRWSB3Q2,Germany,Germany,Part-Time,German,"English, German",none,Germany,Male,Yes,Every day
5ddc24da961cb3b8d15be1b6,5dcc8459bfb31a920381996e,APPROVED,2019-11-25 19:00:42.202000,2019-11-25 19:55:42.379000,3300.177,21,451,0,100,2019-12-08 10:56:40.177000,HRWSB3Q2,Germany,Germany,Part-Time,German,"Spanish, French, English, German",none,Germany,Male,Yes,Multiple times every day
5ddc24e9149f53b8627b6e13,5bf0fc561e78580001dc43c3,APPROVED,2019-11-25 19:00:57.425000,2019-11-25 19:41:31.970000,2434.545,26,400,1,100,2019-12-08 10:56:41.102000,HRWSB3Q2,Germany,Germany,Part-Time,German,German,none,Germany,Male,Yes,Multiple times every day
5ddc2511456f2c000d0f57a2,5d30748e68c6fe001c8cefc7,APPROVED,2019-11-25 19:01:37.191000,2019-11-25 19:31:52,1814.809,37,279,2,100,2019-12-08 10:56:42.060000,HRWSB3Q2,Germany,Germany,Full-Time,German,"German, English",none,Germany,Male,No,Multiple times every day
5ddc2562b48da3b7a5cda49f,5d14ab8ac4e6ae00011ad0e9,APPROVED,2019-11-25 19:02:58.652000,2019-11-25 19:30:28.561000,1649.909,29,259,1,100,2019-12-08 10:56:42.977000,HRWSB3Q2,Germany,Germany,Part-Time,German,"German, English",none,Germany,Female,No,2-6 times a week
5ddc25669a8ec2000bc2636f,58add914ef58a9000119d98c,RETURNED,2019-11-25 19:03:05.175000,,30483591.997815,28,398,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ddc2577dfe9dab6c312c615,5da649879698aa001661d9fe,APPROVED,2019-11-25 19:03:22.680000,2019-11-25 19:17:05.939000,823.259,25,96,0,100,2019-12-08 10:56:43.946000,HRWSB3Q2,Bosnia and Herzegovina,Austria,Part-Time,Croatian,"Croatian, German, Serbian, English",none,Bosnia and Herzegovina,Male,Yes,Multiple times every day
5ddc26ac86411bb8d690041e,5c52e314bae2e40001a4c3d1,APPROVED,2019-11-25 19:08:38.707000,2019-11-25 19:47:32.392000,2333.685,25,123,0,100,2019-12-08 10:56:45.030000,HRWSB3Q2,Germany,Germany,Other,German,"English, German, Turkish",none,Turkey,Male,Yes,Multiple times every day
5ddcefaf86411bc5260129e4,5c851854f9d18a00165561b6,APPROVED,2019-11-26 09:26:11.709000,2019-11-26 09:38:33.310000,741.601,32,259,2,100,2019-12-08 10:56:45.945000,HRWSB3Q2,Germany,Germany,Full-Time,German,German,none,Germany,Male,No,Every day
5ddcefed798297c4d1377ba7,58d4ebdec8677b0001a2107b,APPROVED,2019-11-26 09:27:09.951000,2019-11-26 09:50:56.070000,1426.119,35,678,4,100,2019-12-08 10:56:46.863000,HRWSB3Q2,Germany,Germany,Unemployed (and job seeking),German,"English, Polish, German",none,Germany,Male,No,Multiple times every day
5ddceff12e6c77c524b06e5d,5da710bf88c639001080bcdc,APPROVED,2019-11-26 09:28:35.651000,2019-11-26 09:58:09.634000,1773.983,22,86,0,100,2019-12-08 10:56:47.828000,HRWSB3Q2,Germany,Germany,Part-Time,German,"German, English",none,United States,Male,No,Multiple times every day
5ddceffbf85b50c4a988a364,5c8ab4225b8132001749d125,APPROVED,2019-11-26 09:27:23.031000,2019-11-26 09:52:17.904000,1494.873,35,441,5,99,2019-12-08 10:56:48.757000,HRWSB3Q2,Germany,Germany,Part-Time,German,"German, English",none,Germany,Female,Yes,Multiple times every day
5ddcf006e73e61c2cc868cb5,5d6fda2bde432b0019b19ba7,APPROVED,2019-11-26 09:30:08.897000,2019-11-26 09:56:42.787000,1593.89,53,199,0,100,2019-12-08 10:56:49.675000,HRWSB3Q2,Germany,Germany,Full-Time,German,"English, German",none,Germany,Male,No,Multiple times every day
5ddcf0315c5638c41312e204,5cac76acd6a3130016e3542b,APPROVED,2019-11-26 09:28:21.819000,2019-11-26 09:46:14.069000,1072.25,30,319,1,100,2019-12-08 10:56:50.820000,HRWSB3Q2,Germany,Germany,Full-Time,German,"German, English",none,Germany,Male,No,Multiple times every day
5ddcf091af16d3c4f05d8a30,5d6395ef95d04000195abb49,APPROVED,2019-11-26 09:29:56.317000,2019-11-26 09:50:56.872000,1260.555,35,202,2,99,2019-12-08 10:56:51.747000,HRWSB3Q2,Poland,Germany,Full-Time,German,"Polish, German",none,Germany,Male,No,Multiple times every day
5ddd33b729228c000a9cac28,5cfcbd1a9ba985000103baa4,APPROVED,2019-11-26 14:16:28.196000,2019-11-26 14:33:37.459000,1029.263,30,224,3,99,2019-12-08 10:56:52.719000,HRWSB3Q2,Germany,Germany,Full-Time,German,"German, English",none,Germany,Male,No,Multiple times every day
5ddd33ce9c84d8c995a8bf76,5dcd13ca6a8a33969923c480,APPROVED,2019-11-26 14:16:48.556000,2019-11-26 14:34:22.205000,1053.649,25,52,0,101,2019-12-08 10:56:53.659000,HRWSB3Q2,Germany,Germany,Other,German,German,none,Germany,Male,Yes,2-6 times a week
5ddd3407ce1ce6c992d2b264,5d7ff849774f4c0019fef2e2,APPROVED,2019-11-26 14:17:59.318000,2019-11-26 14:53:40.845000,2141.527,32,218,0,100,2019-12-08 10:56:54.611000,HRWSB3Q2,Germany,Germany,Part-Time,German,"English, German",none,Germany,Female,Yes,Every day
5ddd34207df219c97fc01eec,5dd42fa39b6104414f7025a2,APPROVED,2019-11-26 14:18:11.544000,2019-11-26 14:48:54.386000,1842.842,44,96,0,100,2019-12-08 10:56:55.532000,HRWSB3Q2,Germany,Germany,"Not in paid work (e.g. homemaker', 'retired or disabled)",German,"German, English",none,Germany,Male,No,Every day
5ddd344286c886ca801fc6af,5b4979dfd4c93b00019bfd88,APPROVED,2019-11-26 14:19:29.044000,2019-11-26 14:47:52.579000,1703.535,28,555,5,99,2019-12-08 10:56:56.591000,HRWSB3Q2,Germany,Germany,Full-Time,German,"German, French, Spanish, English, Turkish",none,Germany,Female,No,Multiple times every day
5ddd344ce0b21bc9b83dbc4e,5dc48beeb4c0ec35bab2b6fb,APPROVED,2019-11-26 14:18:51.985000,2019-11-26 14:56:57.045000,2285.06,27,102,0,100,2019-12-08 10:56:57.498000,HRWSB3Q2,Germany,Germany,Unemployed (and job seeking),German,"English, German",none,Germany,Male,No,Multiple times every day
5ddd34ad11d494c9545b6765,5cb19af6c642510015463de2,APPROVED,2019-11-26 14:20:29.719000,2019-11-26 14:48:04.629000,1654.91,32,257,2,100,2019-12-08 10:56:58.357000,HRWSB3Q2,Germany,Germany,Full-Time,German,German,none,Germany,Male,No,2-6 times a week
5ddd75c5d17898000b9a536d,5adb5107f6b58c0001fa3533,APPROVED,2019-11-26 18:58:16.424000,2019-11-26 19:33:36.928000,2120.504,32,211,10,94,2019-12-08 10:56:59.268000,HRWSB3Q2,Germany,Germany,Full-Time,German,"German, Polish, Dutch, English",none,Germany,Male,No,Every day
5ddd7609e4f4a0ce90d2fc8f,5c1bfe962c45d40001470dd2,RETURNED,2019-11-26 18:59:36.117000,,30397404.5275,21,204,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
