session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Language related disorders,Nationality,Sex,Student Status,Weekly device usage
5dc53d3141bd6e3c01bad5cd,5af6cbadf856320001cf4a34,APPROVED,2019-11-08 10:02:28.416000,2019-11-08 10:22:50.763000,1222.347,22,26,0,100,2019-11-24 15:10:11.752000,HRWSB3Q2,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,none,United Kingdom,Female,No,2-6 times a week
5dc53d73a8e8b53bfc87f1a1,597f8ffc55a1800001337a81,APPROVED,2019-11-08 10:07:18.059000,2019-11-08 10:33:02.286000,1544.227,39,231,1,100,2019-11-24 15:10:13.014000,HRWSB3Q2,Poland,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",Polish,"English, Polish",none,Poland,Female,No,Every day
5dc53d7476eab23c3c96e45f,5c0ebf81857373000152ed32,APPROVED,2019-11-08 10:03:36.517000,2019-11-08 10:28:00.162000,1463.645,34,279,2,99,2019-11-24 15:10:13.882000,HRWSB3Q2,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,none,United Kingdom,Female,No,Every day
5dc53d7ef3795b3b985649fd,5da1eb441b927a00168d2a30,APPROVED,2019-11-08 10:03:44.384000,2019-11-08 10:23:52.269000,1207.885,35,105,0,100,2019-11-24 15:10:16.152000,HRWSB3Q2,Poland,United Kingdom,Full-Time,Polish,"Polish, English",none,Poland,Male,No,2-6 times a week
5dc53d7ed999de3cfad55d20,56051814e372c00011bd556a,APPROVED,2019-11-08 10:03:49.201000,2019-11-08 10:24:05.530000,1216.329,33,960,1,100,2019-11-24 15:10:14.925000,HRWSB3Q2,United Kingdom,United Kingdom,Part-Time,English,English,none,United Kingdom,Female,No,Multiple times every day
5dc53d9984116a3c58328c97,58fa36995214e3000193281c,APPROVED,2019-11-08 10:04:14.476000,2019-11-08 10:29:35.318000,1520.842,36,650,2,100,2019-11-24 15:10:17.068000,HRWSB3Q2,United Kingdom,United Kingdom,Part-Time,English,English,none,United Kingdom,Female,No,Every day
5dc53daecea53e3bbc6115e7,5da06f90abe01f00166c2f16,APPROVED,2019-11-08 10:04:34.482000,2019-11-08 10:24:23.226000,1188.744,29,114,1,100,2019-11-24 15:10:18.200000,HRWSB3Q2,United Kingdom,United Kingdom,Full-Time,English,"English, Urdu",none,United Kingdom,Female,No,Every day
5dc582ffe5e1863f49f58ccd,5d4a0765eae90d0019a6265a,APPROVED,2019-11-08 15:00:15.611000,2019-11-08 15:11:45.521000,689.91,20,504,16,95,2019-11-24 15:10:19.290000,HRWSB3Q2,United Kingdom,United Kingdom,Full-Time,English,English,none,United Kingdom,Female,No,Multiple times every day
5dc5830488f2803fe125e730,5cb23be15c3c93000184f27a,APPROVED,2019-11-08 15:00:51.726000,2019-11-08 15:14:36.440000,824.714,20,232,0,100,2019-11-24 15:10:20.417000,HRWSB3Q2,United Kingdom,United Kingdom,Other,Albanian,English,none,United Kingdom,Female,Yes,Multiple times every day
5dc58307a8e8b53f2dc50db2,5aad68f74ea21d000101c20c,RETURNED,2019-11-08 15:11:00.063000,,31966343.320281,27,681,9,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5dc583097bea723f12ba560d,5b7e7de287d85f0001bac19a,APPROVED,2019-11-08 15:00:27.631000,2019-11-08 15:28:35.236000,1687.605,70,519,6,98,2019-11-24 15:10:21.310000,HRWSB3Q2,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,none,United Kingdom,Female,No,Multiple times every day
5dc58309611e1a3f9ab5be0e,5d923f988eaeee0765fa3851,TIMED-OUT,2019-11-08 15:00:28.015000,,31966975.619227,33,40,0,100,,,United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,none,United Kingdom,Female,No,Multiple times every day
5dc58309b8a4b0401d8f369f,5c712aef1cf0120001bf9ae3,APPROVED,2019-11-08 15:00:28.818000,2019-11-08 15:21:34.254000,1265.436,19,71,2,99,2019-11-24 15:10:22.185000,HRWSB3Q2,Portugal,United Kingdom,Other,Portuguese,"French, Spanish, English, Portuguese",none,Portugal,Female,Yes,Every day
