participant_id;E201_01;E201_02;E201_03;E201_04;E201_05;E201_06;E201_07;E201_08;E201_09;E201_10;E201_11;E201_12;E201_13;E201_14;E201_15;E201_16;E201_17;E201_18;E201_19;E201_20;E201_avg;E201_var;A305_01;A305_03;A305_04;A305_05;A305_06;A305_07;A305_08;A305_09;A305_avg;A305_var;S101_01;S101_02;S101_03;S101_04;S101_05;S101_06;S101_07;S101_13;S101_08;S101_09;S101_10;S101_11;S101_12;S101_avg;S101_var;S102_01;S102_02;S102_03;S102_04;S102_05;S102_06;S102_07;S102_08;S102_09;S102_avg;S102_var;var_flag
53a18b8ffdf99b79ca51df6e;1;1;6;6;1;1;1;1;1;7;1;1;7;7;1;3;1;3;1;1;2,666666667;6,042105263;3;6;6;7;7;7;7;5;6;1,75;6;7;7;6;7;3;1;1;6;1;2;7;7;4,692307692;6,897435897;3;3;3;2;2;3;3;3;3;2,777777778;0,172839506;0
54d64ee6fdf99b1bfc1d8997;2;2;7;6;4;2;2;2;3;6;2;2;6;4;2;2;3;2;2;2;3,666666667;2,976315789;6;5;6;7;3;5;5;6;5,375;1,234375;6;7;6;7;4;5;3;1;2;2;2;5;3;4,076923077;4,243589744;5;5;6;6;6;6;6;6;6;5,777777778;0,172839506;0
5591cd21fdf99b63126f6c60;2;2;7;7;1;1;1;1;1;7;3;1;6;6;1;1;1;1;1;1;3,666666667;5,936842105;7;7;4;6;7;3;4;4;5,25;2,4375;7;7;7;7;4;5;1;1;6;1;4;7;1;4,461538462;6,935897436;7;7;7;7;7;7;7;7;7;7;0;1
56051814e372c00011bd556a;2;2;6;6;4;4;3;3;3;6;4;4;4;4;4;3;3;3;4;3;3,333333333;1,355263158;6;6;6;6;6;6;6;5;5,875;0,109375;2;6;2;6;2;2;2;1;5;2;4;4;4;3,230769231;2,858974359;4;5;5;5;5;5;5;5;5;4,888888889;0,098765432;0
56333f762840d2000a22e4a3;1;1;7;4;4;4;1;1;4;7;4;1;4;1;1;1;4;1;1;1;3;4,239473684;7;7;7;7;4;7;7;4;6,25;1,6875;7;7;4;7;1;1;1;1;7;1;4;4;4;3,769230769;6,692307692;7;7;7;7;7;7;7;7;7;7;0;1
567dd32b4f0ef30006dbb718;1;1;6;6;5;2;2;4;4;6;3;1;4;4;2;5;2;2;2;2;2,666666667;3,010526316;5;5;5;4;4;4;5;5;4,625;0,234375;2;6;4;1;1;4;2;1;5;2;4;6;6;3,384615385;3,923076923;4;4;4;4;4;4;4;4;4;4;0;1
56cb572b73cd5b0006f79acd;2;1;7;1;4;2;4;1;2;6;1;4;2;1;4;7;3;2;1;2;3,333333333;3,923684211;7;7;6;6;3;1;3;6;4,875;4,359375;1;7;1;7;1;1;1;1;7;1;4;7;1;3,076923077;8,076923077;7;7;7;7;7;7;7;7;7;7;0;1
56ce42d9465e580006846f57;3;3;7;5;4;4;4;3;3;7;2;3;3;5;3;3;4;3;3;3;4,333333333;1,776315789;4;5;6;6;6;4;5;4;5;0,75;7;2;4;7;1;3;1;1;4;1;1;4;5;3,153846154;4,974358974;7;7;7;7;7;7;7;7;7;7;0;1
56e7527138f932000a86bc4a;1;6;7;5;6;6;2;4;3;1;3;6;7;4;5;5;3;2;2;1;4,666666667;4,155263158;5;1;7;6;7;7;6;6;5,625;3,484375;7;7;1;7;3;5;3;1;5;1;6;5;6;4,384615385;5,423076923;6;4;5;7;6;7;6;7;7;6,111111111;0,987654321;0
5774ed97d8e8880001b2ff6c;2;3;6;5;7;4;6;2;6;7;4;3;7;6;3;3;5;6;4;3;3,666666667;2,884210526;4;3;3;5;2;3;2;4;3,25;0,9375;1;7;1;1;1;4;4;1;3;1;2;2;7;2,692307692;4,897435897;7;7;7;7;7;7;6;7;7;6,888888889;0,098765432;0
579e1e2b275be6000135af15;1;1;6;1;1;1;3;1;1;4;1;1;1;1;1;3;1;1;1;1;2,666666667;1,831578947;6;7;7;7;1;4;4;7;5,375;4,234375;7;7;4;7;1;1;1;1;7;1;4;4;5;3,846153846;6,807692308;4;7;7;7;7;7;7;7;7;6,666666667;0,888888889;0
57a1e03b8eccbc0001f39c13;1;2;7;6;5;5;3;1;2;7;1;2;7;3;2;4;2;1;2;2;3,333333333;4,618421053;4;6;5;5;4;4;5;6;4,875;0,609375;6;7;4;5;3;3;4;1;4;4;3;5;5;4,153846154;2,307692308;5;5;6;4;6;7;6;6;7;5,777777778;0,839506173;0
58106d17a513590001b1ec9e;1;1;7;7;5;5;5;2;6;6;3;4;4;2;4;2;5;2;2;4;3;3,607894737;4;7;7;7;7;7;6;5;6,25;1,1875;1;7;4;7;1;4;1;1;5;2;6;6;3;3,692307692;5,564102564;6;6;5;6;6;6;6;6;6;5,888888889;0,098765432;0
58296b19c297cc00015159a8;2;2;7;7;4;1;1;1;1;7;1;1;7;7;5;7;6;6;1;1;3,666666667;7,460526316;7;7;7;7;7;7;7;7;7;0;1;1;1;1;7;1;1;1;4;1;6;7;7;3;7,5;4;3;3;1;1;5;5;3;4;3,222222222;1,950617284;1
588093c6704f1100014a3d01;1;1;5;4;6;2;4;1;3;6;1;2;6;7;3;5;3;2;2;3;2,333333333;3,713157895;5;7;6;5;7;6;7;6;6,125;0,609375;1;1;1;7;1;2;1;1;2;1;1;1;1;1,615384615;2,756410256;2;1;1;1;1;1;3;2;2;1,555555556;0,469135802;0
58b7232a67ae1000010646dd;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;0,45;2;5;5;6;6;2;3;6;4,375;2,734375;7;7;1;7;2;2;2;1;4;1;4;5;6;3,769230769;5,858974359;4;6;6;6;6;7;7;7;7;6,222222222;0,839506173;0
58bcbadacedda800015fa498;1;1;6;6;4;1;1;1;3;7;1;1;4;6;1;6;5;1;2;3;2,666666667;4,997368421;5;6;6;4;4;6;5;7;5,375;0,984375;7;7;7;7;1;4;1;1;6;1;7;7;7;4,846153846;7,807692308;6;7;7;6;7;6;5;4;7;6,111111111;0,987654321;0
58cbd0a55d42920001414dd3;1;1;2;2;3;2;1;1;1;5;1;1;2;7;1;2;1;1;1;1;1,333333333;2,45;3;7;7;7;7;7;4;5;5,875;2,359375;7;7;7;7;1;3;4;1;6;4;4;4;6;4,692307692;4,730769231;4;7;7;6;7;7;7;7;7;6,555555556;0,913580247;0
58cd9587334d5b0001d64b02;1;1;7;2;2;6;2;2;3;7;1;4;2;1;6;1;1;1;1;1;3;4,673684211;5;5;5;6;2;3;5;7;4,75;2,1875;7;7;7;7;3;4;6;1;1;4;5;7;7;5,076923077;5,243589744;6;7;2;7;6;6;7;7;7;6,111111111;2,320987654;0
58d4ebdec8677b0001a2107b;1;1;7;7;7;3;2;1;3;7;1;2;1;7;1;5;2;1;1;1;3;6,471052632;7;7;7;5;6;5;5;7;6,125;0,859375;7;1;1;7;1;4;1;1;7;1;5;6;6;3,692307692;7,397435897;1;7;7;7;5;7;7;7;7;6,111111111;3,654320988;0
58e3a47a1a964e00019a565e;5;5;7;5;6;3;5;2;7;7;4;6;5;6;6;7;6;2;3;5;5,666666667;2,515789474;1;7;6;5;6;5;6;7;5,375;3,234375;2;7;1;7;4;4;4;1;4;5;2;3;6;3,846153846;4,141025641;6;7;7;6;6;5;7;6;7;6,333333333;0,444444444;0
58effc65c31d4d00015aa5b9;3;3;6;6;7;2;3;3;6;7;3;3;7;7;2;5;3;2;2;2;4;3,989473684;3;7;7;5;6;5;7;5;5,625;1,734375;2;2;2;7;1;3;2;1;5;4;3;5;5;3,230769231;3,358974359;5;5;5;5;5;5;5;5;5;5;0;1
