"","Current Country of Residence","ind"
"116","DACH","Balcony"
"313","United States","Balcony"
"668","DACH","Balcony"
"1209","DACH","Balcony"
"1381","DACH","Basement"
"1397","United States","Basement"
"1441","United States","Basement"
"1479","United States","Basement"
"1521","United Kingdom","Basement"
"1581","United States","Basement"
"1601","DACH","Basement"
"1604","DACH","Basement"
"1618","United States","Basement"
"1623","United States","Basement"
"1645","United States","Basement"
"1683","United States","Basement"
"1715","DACH","Basement"
"1959","DACH","Basement"
"2006","United Kingdom","Basement"
"2089","United States","Basement"
"2157","DACH","Basement"
"2210","United States","Basement"
"2258","DACH","Basement"
"2263","United States","Basement"
"2304","DACH","Basement"
"2319","DACH","Basement"
"2384","United States","Basement"
"2396","United Kingdom","Basement"
"2420","United States","Basement"
"2452","DACH","Basement"
"2474","DACH","Basement"
"2515","United States","Basement"
"2571","United States","Basement"
"2591","DACH","Basement"
"2648","United Kingdom","Children's Room"
"2705","United States","Children's Room"
"2830","DACH","Children's Room"
"2838","DACH","Children's Room"
"2856","United States","Children's Room"
"2966","DACH","Children's Room"
"2977","United States","Children's Room"
"3031","DACH","Children's Room"
"3217","United Kingdom","Children's Room"
"3433","United Kingdom","Children's Room"
"3597","United States","Children's Room"
"3779","DACH","Children's Room"
"3836","DACH","Children's Room"
"3901","DACH","Children's Room"
"3923","United Kingdom","Dining Room"
"3937","United Kingdom","Dining Room"
"3941","United States","Dining Room"
"3945","United States","Dining Room"
"3959","United Kingdom","Dining Room"
"3970","United States","Dining Room"
"4006","DACH","Dining Room"
"4030","DACH","Dining Room"
"4032","United States","Dining Room"
"4061","DACH","Dining Room"
"4092","United Kingdom","Dining Room"
"4100","DACH","Dining Room"
"4112","DACH","Dining Room"
"4125","United States","Dining Room"
"4136","United Kingdom","Dining Room"
"4161","United States","Dining Room"
"4168","United Kingdom","Dining Room"
"4202","United Kingdom","Dining Room"
"4208","United States","Dining Room"
"4222","United Kingdom","Dining Room"
"4228","United States","Dining Room"
"4231","DACH","Dining Room"
"4262","DACH","Dining Room"
"4265","United States","Dining Room"
"4277","United States","Dining Room"
"4282","United States","Dining Room"
"4295","DACH","Dining Room"
"4336","DACH","Dining Room"
"4365","United States","Dining Room"
"4396","United States","Dining Room"
"4632","United States","Dining Room"
"4767","DACH","Dining Room"
"4914","DACH","Dining Room"
"4947","United States","Dining Room"
"4997","United Kingdom","Dining Room"
"5038","United Kingdom","Dining Room"
"5062","DACH","Dining Room"
"5063","United Kingdom","Dining Room"
"5132","DACH","Dining Room"
"5144","DACH","Dining Room"
"5184","DACH","Dining Room"
"5190","United Kingdom","Dining Room"
"5201","DACH","Dining Room"
"5204","DACH","Dining Room"
"5205","DACH","Dining Room"
"5246","United States","Garage"
"5399","DACH","Garage"
"5410","United Kingdom","Garage"
"5455","United Kingdom","Garage"
"5487","United Kingdom","Garage"
"5533","United States","Garage"
"5558","United States","Garage"
"5582","United States","Garage"
"5583","United Kingdom","Garage"
"5703","DACH","Garage"
"5718","United States","Garage"
"5814","United States","Garage"
"5921","United Kingdom","Garage"
"6053","United States","Garage"
"6218","United Kingdom","Garage"
"6252","United States","Garage"
"6335","United States","Garage"
"6405","United States","Garage"
"6429","DACH","Garage"
"6430","United States","Garage"
"6694","United States","Guest Bedroom"
"6771","United States","Guest Bedroom"
"6824","DACH","Guest Bedroom"
"6887","United States","Guest Bedroom"
"6892","United States","Guest Bedroom"
"6912","United States","Guest Bedroom"
"7006","United States","Guest Bedroom"
"7242","United States","Guest Bedroom"
"7490","United States","Guest Bedroom"
"7672","DACH","Guest Bedroom"
"7694","DACH","Guest Bedroom"
"7754","DACH","Guest Bedroom"
"7756","DACH","Guest Bedroom"
"7798","United Kingdom","Guest Bedroom"
"7811","DACH","Guest Bedroom"
"7856","United States","Hallway"
"7862","United Kingdom","Hallway"
"7877","DACH","Hallway"
"7879","United Kingdom","Hallway"
"7881","United Kingdom","Hallway"
"7903","DACH","Hallway"
"7919","DACH","Hallway"
"7928","United Kingdom","Hallway"
"7937","United Kingdom","Hallway"
"7939","DACH","Hallway"
"7959","DACH","Hallway"
"7994","United States","Hallway"
"8007","United Kingdom","Hallway"
"8027","DACH","Hallway"
"8030","United Kingdom","Hallway"
"8031","United Kingdom","Hallway"
"8043","United Kingdom","Hallway"
"8053","United Kingdom","Hallway"
"8055","DACH","Hallway"
"8076","United States","Hallway"
"8078","United Kingdom","Hallway"
"8094","DACH","Hallway"
"8102","United Kingdom","Hallway"
"8119","United Kingdom","Hallway"
"8140","DACH","Hallway"
"8143","United States","Hallway"
"8145","United States","Hallway"
"8154","DACH","Hallway"
"8158","United Kingdom","Hallway"
"8168","United States","Hallway"
"8178","United States","Hallway"
"8192","United States","Hallway"
"8196","United Kingdom","Hallway"
"8197","United States","Hallway"
"8207","United States","Hallway"
"8209","DACH","Hallway"
"8226","United States","Hallway"
"8233","United Kingdom","Hallway"
"8286","United Kingdom","Hallway"
"8311","United States","Hallway"
"8327","DACH","Hallway"
"8328","United States","Hallway"
"8501","United Kingdom","Hallway"
"8651","United States","Hallway"
"8682","DACH","Hallway"
"8700","DACH","Hallway"
"8720","United Kingdom","Hallway"
"8734","DACH","Hallway"
"8740","United States","Hallway"
"8754","United Kingdom","Hallway"
"8787","DACH","Hallway"
"8823","United Kingdom","Hallway"
"8828","United Kingdom","Hallway"
"8829","DACH","Hallway"
"8864","United States","Hallway"
"8890","United Kingdom","Hallway"
